data_profile,model,mode,task_id,task_type,planning_exec_ready,spec_path,contract_compatible,execution_success,output_valid,row_or_pixel_count,required_fields_ok,geometry_or_raster_ok,duration_seconds,output_path,repair_policy,repair_applied,repair_notes,error_type,error_message
synthetic,deepseek-coder:6.7b,basic,T001,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T001_basic.json,0,0,0,0,0,0,0.000,,role_defaults,0,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T001_basic.json'
synthetic,deepseek-coder:6.7b,basic,T002,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T002_basic.json,1,1,1,6,1,1,0.027,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T002/T002_buffer_hospitals_2500m.gpkg,role_defaults,1,"default_layer_roles:hospital_points,study_boundary",,
synthetic,deepseek-coder:6.7b,basic,T003,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T003_basic.json,1,1,1,1,1,1,0.013,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T003/T003_buffer_hospitals_dissolved.gpkg,role_defaults,1,"default_layer_roles:hospital_points,study_boundary",,
synthetic,deepseek-coder:6.7b,basic,T004,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T004_basic.json,0,0,0,0,0,0,0.000,,role_defaults,0,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T004_basic.json'
synthetic,deepseek-coder:6.7b,basic,T005,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T005_basic.json,1,1,1,6,1,1,0.012,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T005/T005_buffer_hospitals_area.gpkg,role_defaults,1,"default_layer_roles:hospital_points,study_boundary",,
synthetic,deepseek-coder:6.7b,basic,T006,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T006_basic.json,1,1,1,26,1,1,0.019,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T006/T006_flood_tract_overlay.gpkg,role_defaults,0,,,
synthetic,deepseek-coder:6.7b,basic,T007,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T007_basic.json,1,1,1,26,1,1,0.016,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T007/T007_flood_tract_overlay_area.gpkg,role_defaults,0,,,
synthetic,deepseek-coder:6.7b,basic,T008,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T008_basic.json,0,0,0,0,0,0,0.000,,role_defaults,0,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T008_basic.json'
synthetic,deepseek-coder:6.7b,basic,T009,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T009_basic.json,1,1,1,30,1,1,0.019,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T009/T009_flood_summary_by_tract.gpkg,role_defaults,1,default_layer_roles:census_tracts,,
synthetic,deepseek-coder:6.7b,basic,T010,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T010_basic.json,1,1,1,25,1,1,0.018,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T010/T010_high_flood_tracts.gpkg,role_defaults,1,"default_layer_roles:census_tracts,flood_zones",,
synthetic,deepseek-coder:6.7b,basic,T011,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T011_basic.json,1,1,1,30,1,1,0.013,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T011/T011_school_count_by_tract.gpkg,role_defaults,1,default_layer_roles:census_tracts,,
synthetic,deepseek-coder:6.7b,basic,T012,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T012_basic.json,1,1,1,30,1,1,0.012,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T012/T012_hospital_count_by_tract.gpkg,role_defaults,1,"default_layer_roles:census_tracts,hospital_points",,
synthetic,deepseek-coder:6.7b,basic,T013,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T013_basic.json,1,1,1,30,1,1,0.013,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T013/T013_school_density_by_tract.gpkg,role_defaults,1,default_layer_roles:school_points,,
synthetic,deepseek-coder:6.7b,basic,T014,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T014_basic.json,1,1,1,17,1,1,0.013,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T014/T014_tracts_with_schools.gpkg,role_defaults,1,"default_layer_roles:census_tracts,school_points",,
synthetic,deepseek-coder:6.7b,basic,T015,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T015_basic.json,0,0,0,0,0,0,0.000,,role_defaults,0,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T015_basic.json'
synthetic,deepseek-coder:6.7b,basic,T016,raster_clip,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T016_basic.json,1,1,1,3000,1,1,0.021,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T016/T016_temperature_clip.tif,role_defaults,1,default_layer_roles:temperature_raster,,
synthetic,deepseek-coder:6.7b,basic,T017,raster_clip,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T017_basic.json,1,1,1,3000,1,1,0.005,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T017/T017_temperature_clip_nodata.tif,role_defaults,1,"default_layer_roles:study_boundary,temperature_raster",,
synthetic,deepseek-coder:6.7b,basic,T018,raster_clip,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T018_basic.json,1,1,1,3000,1,1,0.005,experiments/08_workflow_contract_execution/outputs/artifacts/synthetic/deepseek-coder_6.7b/basic/T018/T018_temperature_clip_boundary_crs.tif,role_defaults,0,,,
